"Data","Open","Close","High","Low"
"2015-10-08",2.2414572314,2.3182920537,2.3421373434,2.193766652
"2015-10-09",2.3898279228,2.3315394369,2.403075306,2.273250951
"2015-10-13",2.214962465,2.1540245025,2.244106708,2.1381276427
"2015-10-14",2.1381276427,2.1089833997,2.1805192688,2.0904370633
"2015-10-15",2.1195813063,2.1195813063,2.1381276427,2.0321485774
"2015-10-16",2.1169318296,2.1063339231,2.1407771193,2.0692412502
"2015-10-19",2.0930865399,2.1063339231,2.1089833997,2.0559938671
"2015-10-20",2.1195813063,2.1328286894,2.1699213623,2.1116328764
"2015-10-21",2.1063339231,2.0533443904,2.1354781661,2.0427464839
"2015-10-22",2.0718907269,2.1248802595,2.1487255492,2.0692412502
"2015-10-23",2.1884676987,2.1169318296,2.193766652,2.1036844465
"2015-10-26",2.1328286894,2.0798391568,2.1540245025,2.0665917736
"2015-10-27",2.0824886334,2.0136022409,2.0824886334,2.0003548578
"2015-10-28",2.0162517176,2.0400970073,2.1063339231,1.9924064279
"2015-10-29",2.0056538111,2.0162517176,2.1010349698,2.0056538111
"2015-10-30",2.0136022409,2.0427464839,2.0612928203,1.9977053812
"2015-11-03",2.0771896801,2.2467561846,2.2467561846,2.0586433437
"2015-11-04",2.273250951,2.1407771193,2.2917972874,2.1248802595
"2015-11-05",2.1407771193,2.1487255492,2.164622409,2.08513811
"2015-11-06",2.1301792128,2.0718907269,2.1407771193,2.0480454372
"2015-11-09",2.0745402035,2.0242001475,2.1010349698,2.0109527643
"2015-11-10",2.0136022409,2.0162517176,2.0374475306,1.9897569513
"2015-11-11",2.0427464839,2.0453959605,2.0745402035,2.0242001475
"2015-11-12",2.0453959605,2.0083032877,2.0506949138,1.9950559045
"2015-11-13",1.9871074746,1.9261695121,2.0030043344,1.9155716055
"2015-11-16",1.9367674186,2.0400970073,2.0400970073,1.9367674186
"2015-11-17",2.0665917736,2.0559938671,2.0824886334,2.0242001475
"2015-11-18",2.0692412502,2.0718907269,2.1275297362,2.063942297
"2015-11-19",2.1089833997,2.0771896801,2.114282353,2.0189011942
"2015-11-23",2.0930865399,2.1407771193,2.1460760726,2.0798391568
"2015-11-24",2.1328286894,2.2520551379,2.2520551379,2.1063339231
"2015-11-25",2.193766652,2.0930865399,2.2123129884,2.0930865399
"2015-11-26",2.1063339231,2.0983854932,2.1301792128,2.0718907269
"2015-11-27",2.0692412502,2.0136022409,2.0824886334,2.0056538111
"2015-11-30",1.9977053812,2.0321485774,2.0771896801,1.9659116616
"2015-12-01",2.0321485774,1.984457998,2.0559938671,1.9738600915
"2015-12-02",1.9977053812,1.9924064279,2.0109527643,1.9473653251
"2015-12-03",2.1169318296,2.114282353,2.164622409,2.063942297
"2015-12-04",2.1116328764,1.9924064279,2.1116328764,1.9659116616
"2015-12-07",2.0136022409,1.904973699,2.0162517176,1.8943757925
"2015-12-08",1.9076231756,1.8890768392,1.9076231756,1.8413862598
"2015-12-09",1.9447158485,2.0268496241,2.0718907269,1.9261695121
"2015-12-10",1.9897569513,1.9738600915,2.0056538111,1.9367674186
"2015-12-11",1.9235200354,1.9208705588,1.9950559045,1.9102726523
"2015-12-14",1.8943757925,1.9102726523,1.9155716055,1.8731799794
"2015-12-15",1.9447158485,1.9659116616,1.9791590447,1.934117942
"2015-12-16",1.9288189887,1.9314684653,1.9500148018,1.8784789327
"2015-12-17",1.9473653251,1.9076231756,1.9924064279,1.904973699
"2015-12-18",1.8599325962,1.8599325962,1.8811284093,1.8334378299
"2015-12-21",1.8705305028,1.7592524842,1.8784789327,1.7539535309
"2015-12-22",1.7910462038,1.7989946337,1.8069430636,1.7539535309
"2015-12-23",1.8307883533,1.8360873066,1.8652315495,1.8201904468
"2015-12-28",1.8281388767,1.775149344,1.8281388767,1.7619019608
"2015-12-29",1.804293587,1.7724998674,1.8201904468,1.7698503907
"2015-12-30",1.7645514375,1.775149344,1.7910462038,1.7274587646
"2016-01-04",1.7407061478,1.8201904468,1.8625820729,1.7354071945
"2016-01-05",1.8334378299,1.7698503907,1.854633643,1.7539535309
"2016-01-06",1.7301082412,1.695665045,1.7327577179,1.695665045
"2016-01-07",1.6400260357,1.6585723722,1.7036134749,1.6108817928
"2016-01-08",1.6903660917,1.6612218488,1.7089124282,1.6241291759
"2016-01-11",1.6612218488,1.6135312694,1.6691702787,1.6029333629
"2016-01-12",1.6214796993,1.465160578,1.6214796993,1.4598616247
"2016-01-13",1.5102016807,1.3962741855,1.5207995872,1.3909752322
"2016-01-14",1.406872092,1.5075522041,1.5075522041,1.3591815126
"2016-01-15",1.4174699986,1.3697794192,1.4413152883,1.3671299425
"2016-01-18",1.3750783724,1.2717487838,1.3803773257,1.2717487838
"2016-01-19",1.3326867463,1.2346561109,1.3379856996,1.2293571576
"2016-01-20",1.1922644848,1.1737181483,1.1922644848,1.1286770456
"2016-01-21",1.1578212885,1.1922644848,1.2373055875,1.1551718119
"2016-01-22",1.2532024473,1.1684191951,1.2638003539,1.1657697184
"2016-01-26",1.1207286157,1.1127801858,1.1419244287,1.0915843727
"2016-01-27",1.1180791391,1.2108108212,1.2293571576,1.1021822793
"2016-01-28",1.2373055875,1.2187592511,1.3591815126,1.1525223353
"2016-01-29",1.2452540174,1.2823466903,1.2876456436,1.197563438
"2016-02-01",1.255851924,1.2505529707,1.2876456436,1.2346561109
"2016-02-02",1.2081613446,1.1392749521,1.2320066343,1.1392749521
"2016-02-03",1.1710686717,1.1896150081,1.197563438,1.1180791391
"2016-02-04",1.2081613446,1.2532024473,1.3088414566,1.1551718119
"2016-02-05",1.2532024473,1.2028623913,1.2664498305,1.2002129147
