"Data","Open","Close","High","Low","log_return"
"2020-04-27",4.6050617199,4.6935108608,4.7163364455,4.5023465886,0.0308666479841341
"2020-04-28",4.8618495482,4.9217667081,4.9217667081,4.7448684264,0.0474866662591328
"2020-04-29",5.0786926031,5.1928205268,5.2727100734,5.0016562547,0.0536094506040413
"2020-04-30",5.1300501688,5.1500225554,5.2555908848,5.0501606222,-0.0082759093087676
"2020-05-04",4.9731242738,4.9588582833,5.0273350375,4.9017943215,-0.0378255649336781
"2020-05-05",5.1072245841,5.1186373764,5.2727100734,5.0986649898,0.031712736786997
"2020-05-06",5.0986649898,4.9303263024,5.1528757535,4.9303263024,-0.0374830932449722
"2020-05-07",5.0644266127,4.9759774718,5.0986649898,4.950298689,0.00921665509152625
"2020-05-08",5.0615734146,5.2727100734,5.3012420543,5.0530138203,0.0579226477461022
"2020-05-11",5.2213525077,5.1785545364,5.4011039875,5.167141744,-0.0180185054978507
"2020-05-12",5.2869760638,5.1757013383,5.3725720066,5.1728481402,-0.000551116025476715
"2020-05-13",5.2099397154,5.0187754432,5.2356184982,4.9988030566,-0.030788885949046
"2020-05-14",4.9645646795,4.9645646795,4.9845370661,4.7705472092,-0.0108603525206814
"2020-05-15",5.1329033669,4.8932347272,5.1899673287,4.8932347272,-0.0144720326102373
"2020-05-18",5.1642885459,5.2898292619,5.2898292619,5.1129309803,0.0779323865180111
"2020-05-19",5.2812696677,5.3297740352,5.4011039875,5.2527376867,0.00752287266618536
"2020-05-20",5.446755157,5.5066723169,5.5466170902,5.4381955627,0.0326516631133709
"2020-05-21",5.5637362787,5.4752871379,5.6407726272,5.4410487608,-0.00571578588972666
"2020-05-22",5.3640124123,5.3269208371,5.3925443932,5.2356184982,-0.0274713524722771
"2020-05-25",5.5580298826,5.5580298826,5.5808554673,5.4952595245,0.0424703406745768
"2020-05-26",5.7006897871,5.6122406463,5.7320749661,5.5152319112,0.00970633417909662
"2020-05-27",5.6493322215,5.6864237967,5.6864237967,5.4638743455,0.0131315018266859
"2020-05-28",5.6179470425,5.6407726272,5.729221768,5.5494702883,-0.00806049704807535
"2020-05-29",5.5780022692,5.8034049184,5.8034049184,5.5066723169,0.0284237534337048
"2020-06-01",5.7491941547,5.8005517203,5.8661752764,5.7063961833,-0.000491762981599617
"2020-06-02",5.9203860402,6.1058439161,6.1058439161,5.8775880688,0.0512932943866888
"2020-06-03",6.2370910284,6.1258163028,6.2513570188,6.1086971142,0.00326568987244197
"2020-06-04",6.1029907181,6.1144035104,6.2142654436,6.0031287848,-0.00186480241065816
"2020-06-05",6.3597785463,6.3055677826,6.5709152051,6.2941549902,0.0307857990476791
"2020-06-08",6.4339616967,6.4282553005,6.445374489,6.2798889997,0.0192701459139136
"2020-06-09",6.2855953959,6.1971462551,6.288448594,6.1743206703,-0.0366142593745294
"2020-06-10",6.2456506226,6.1058439161,6.2485038207,5.9917159925,-0.0148425730488473
"2020-06-12",5.883294465,5.8775880688,6.04022036,5.7349281642,-0.0380998462270233
"2020-06-15",5.6521854196,5.9061200497,6.0173947753,5.5751490711,0.00484262447299358
"2020-06-16",6.1514950856,6.0972843219,6.2513570188,6.04022036,0.0318543690695654
"2020-06-17",6.1286695009,6.1172567085,6.2342378303,6.0345139639,0.00327026686472928
"2020-06-18",6.0430735581,6.162907878,6.2114122455,6.0145415772,0.00743497849296716
"2020-06-19",6.2770358016,6.1258163028,6.3398061597,6.0544863505,-0.00603670280079011
"2020-06-22",6.162907878,5.977450002,6.162907878,5.9631840116,-0.0245179655281531
"2020-06-23",6.0544863505,6.1771738684,6.2970081883,6.0316607658,0.0328668080778793
"2020-06-24",6.131522699,5.9917159925,6.1514950856,5.9089732478,-0.0304830167156325
"2020-06-25",5.9660372097,6.1258163028,6.1258163028,5.914679644,0.0221341741659062
"2020-06-26",6.0516331524,5.946064823,6.1258163028,5.9289456345,-0.029782395009769
"2020-06-29",6.0202479734,6.1800270665,6.1800270665,5.9717436058,0.0385930246851936
"2020-06-30",6.0887247276,6.1486418875,6.2199718398,6.0173947753,-0.00509142502177375
"2020-07-01",6.2057058494,6.194293057,6.3483657539,6.1400822932,0.00739716734587485
"2020-07-02",6.3055677826,6.2941549902,6.3369529616,6.2370910284,0.0159930299338534
"2020-07-03",6.2627698112,6.2713294055,6.3283933673,6.2199718398,-0.00363306484457553
"2020-07-06",6.3883105272,6.4225489043,6.5224108375,6.3654849425,0.0238267059340205
"2020-07-07",6.3740445368,6.3426593578,6.411136112,6.3169805749,-0.0125169269321066
"2020-07-08",6.4054297158,6.4624936776,6.4938788566,6.3911637253,0.0187171239451279
"2020-07-09",6.4995852528,6.3169805749,6.5081448471,6.2941549902,-0.022773924652599
"2020-07-10",6.3312465654,6.4225489043,6.4624936776,6.2941549902,0.0165737276395777
"2020-07-13",6.4510808852,6.3226869711,6.4624936776,6.3226869711,-0.0156707930383423
"2020-07-14",6.3141273768,6.5338236299,6.5509428184,6.2370910284,0.032848048683832
"2020-07-15",6.6194195726,6.6593643459,6.6850431288,6.5195576394,0.0190317162932588
"2020-07-16",6.6080067803,6.4824660642,6.6422451574,6.4254021024,-0.0269230330082353
"2020-07-17",6.5138512432,6.4881724604,6.5709152051,6.442521291,0.000879894472017407
"2020-07-20",6.4767596681,6.4881724604,6.536676828,6.4254021024,0
"2020-07-21",6.6051535822,6.6679239402,6.7335474963,6.6023003841,0.0273276602323336
"2020-07-22",6.6479515536,6.5766216013,6.6793367326,6.5652088089,-0.0137873791030926
"2020-07-23",6.6081377963,6.4397957712,6.6281105789,6.4312360073,-0.021024351964911
"2020-07-24",6.4312360073,6.4854478458,6.5796052497,6.3969969513,0.00706404703726196
"2020-07-27",6.5253934111,6.6195508149,6.6338170882,6.4055567153,0.02046664080859
"2020-07-28",6.5738987403,6.5054206285,6.6537898709,6.5054206285,-0.0173917427020631
"2020-07-29",6.5710454857,6.610991051,6.6338170882,6.5396596844,0.0160978024869084
"2020-07-30",6.5396596844,6.5111271378,6.5396596844,6.4198229886,-0.015220994016944
"2020-07-31",6.5396596844,6.3342253488,6.602431287,6.3228123301,-0.0275450555525411
"2020-08-03",6.4312360073,6.2200951623,6.4340892619,6.197269125,-0.0181823190888391
"2020-08-04",6.1230845038,6.214388653,6.2914265288,6.0631661559,-0.000917852286493777
"2020-08-05",6.3427851128,6.6138443056,6.6423768522,6.3427851128,0.0622977204028202
"2020-08-06",6.6423768522,6.6252573243,6.7137082188,6.5653389764,0.00172413836622707
"2020-08-07",6.5225401564,6.5025673738,6.5368064297,6.4340892619,-0.0186921330198418
"2020-08-10",6.5339531751,6.6908821815,6.6908821815,6.4597685539,0.028548651639778
"2020-08-11",6.7650668027,6.585311759,6.8135721319,6.5796052497,-0.0159040532554332
"2020-08-12",6.6652028895,6.6994419455,6.7565070387,6.585311759,0.0171825533253003
"2020-08-13",6.6908821815,6.5168336471,6.7279744921,6.4797413365,-0.0276356101806605
"2020-08-14",6.4968608645,6.4683283179,6.5567792124,6.4283827526,-0.00747092026106833
"2020-08-17",6.4711815725,6.4483555352,6.5168336471,6.3199590755,-0.00309255825184152
"2020-08-18",6.5425129391,6.568192231,6.6309638336,6.4968608645,0.0184134970174904
"2020-08-19",6.5482194484,6.5310999204,6.6537898709,6.4911543552,-0.00566326932914156
"2020-08-20",6.4255294979,6.4854478458,6.5253934111,6.3770241687,-0.00701449610224635
"2020-08-21",6.4312360073,6.4369425166,6.4569152992,6.3770241687,-0.00750721122728051
"2020-08-24",6.5225401564,6.5539259577,6.5995780323,6.5054206285,0.0180105900671582
"2020-08-25",6.5881650137,6.5253934111,6.6052845416,6.4740348272,-0.00436300866386202
