"Data","Open","Close","High","Low"
1986-06-09,7.5179732298e-10,7.6385823106e-10,7.8395979247e-10,7.4375671758e-10
1986-06-10,7.6385823106e-10,7.5179732298e-10,7.6385823106e-10,7.4375671758e-10
1986-06-11,7.5581762567e-10,7.7189883645e-10,7.8395979247e-10,7.4375671758e-10
1986-06-12,7.6385823106e-10,7.6385823106e-10,8.0406130594e-10,7.5581762567e-10
1986-06-13,7.8395979247e-10,7.2365515618e-10,7.8395979247e-10,7.1159424809e-10
1986-06-16,7.2365515618e-10,7.4371650785e-10,7.6385823106e-10,6.4324905434e-10
1986-06-17,7.6385823106e-10,7.2365515618e-10,7.6385823106e-10,6.8345212922e-10
1986-06-18,7.5581762567e-10,6.8747243192e-10,7.6385823106e-10,6.6536071917e-10
1986-06-19,7.035536427e-10,6.6335056782e-10,7.2365515618e-10,6.5530996243e-10
1986-06-20,6.6335056782e-10,7.2361499437e-10,7.2361499437e-10,6.0304597946e-10
1986-06-23,7.2365515618e-10,7.3571611219e-10,7.4375671758e-10,7.2365515618e-10
1986-06-24,7.3571611219e-10,7.4375671758e-10,7.4375671758e-10,7.1159424809e-10
1986-06-25,7.4375671758e-10,7.8395979247e-10,7.8798009516e-10,7.3571611219e-10
1986-06-26,7.8395979247e-10,7.8395979247e-10,7.9200039786e-10,7.7189883645e-10
1986-06-27,7.8130638118e-10,8.0406130594e-10,8.0406130594e-10,7.7189883645e-10
1986-06-30,8.0004100325e-10,8.0402109621e-10,8.2416281942e-10,7.7993948977e-10
1986-07-01,8.0406130594e-10,7.8395979247e-10,8.1210191134e-10,7.6385823106e-10
1986-07-02,7.8395979247e-10,7.7591913915e-10,7.8798009516e-10,7.5179732298e-10
1986-07-03,7.7189883645e-10,7.739089878e-10,7.8395979247e-10,7.5983792837e-10
1986-07-04,7.7591913915e-10,7.9602070055e-10,7.9602070055e-10,7.6787853376e-10
1986-07-07,7.9200039786e-10,7.9200039786e-10,7.9602070055e-10,7.8395979247e-10
1986-07-08,7.8395979247e-10,7.5983792837e-10,8.0402109621e-10,7.5983792837e-10
1986-07-09,7.5581762567e-10,7.7591913915e-10,7.7591913915e-10,7.4978717163e-10
1986-07-10,7.6787853376e-10,7.7993948977e-10,7.8798009516e-10,7.6787853376e-10
1986-07-11,7.8395979247e-10,8.0406130594e-10,8.1210191134e-10,7.7591913915e-10
1986-07-14,8.0406130594e-10,8.1210191134e-10,8.2416281942e-10,8.0004100325e-10
1986-07-15,8.2416281942e-10,8.1612221403e-10,8.2818312212e-10,8.1009180791e-10
1986-07-16,8.1612221403e-10,8.2014251673e-10,8.442643329e-10,8.1612221403e-10
1986-07-17,8.2014251673e-10,8.0406130594e-10,8.2416281942e-10,7.9200039786e-10
1986-07-18,8.0406130594e-10,7.6385823106e-10,8.0406130594e-10,7.5581762567e-10
1986-07-21,7.6385823106e-10,7.4978717163e-10,7.8798009516e-10,7.3973641489e-10
1986-07-22,7.5581762567e-10,7.7185867464e-10,7.8395979247e-10,7.5179732298e-10
1986-07-23,7.7993948977e-10,7.5179732298e-10,7.7993948977e-10,7.2365515618e-10
1986-07-24,7.5581762567e-10,7.4375671758e-10,7.6385823106e-10,7.4375671758e-10
1986-07-25,7.4375671758e-10,7.4375671758e-10,7.6385823106e-10,7.4371650785e-10
1986-07-28,7.5581762567e-10,7.2164500483e-10,7.6385823106e-10,6.9953334001e-10
1986-07-29,7.2365515618e-10,7.4375671758e-10,7.4978717163e-10,7.1159424809e-10
1986-07-30,7.4375671758e-10,7.4576686893e-10,7.8395979247e-10,7.316958095e-10
1986-07-31,8.0406130594e-10,7.316958095e-10,8.0406130594e-10,7.2365515618e-10
1986-08-01,7.316958095e-10,7.8395979247e-10,8.0406130594e-10,7.2365515618e-10
1986-08-04,7.6385823106e-10,7.7993948977e-10,8.1210191134e-10,7.6385823106e-10
1986-08-05,8.2416281942e-10,8.2416281942e-10,8.2416281942e-10,7.9602070055e-10
1986-08-06,8.1612221403e-10,8.3220342481e-10,8.442643329e-10,8.0808160864e-10
1986-08-07,8.3220342481e-10,7.9602070055e-10,8.3622372751e-10,7.5581762567e-10
1986-08-08,7.9602070055e-10,8.0406130594e-10,8.2416281942e-10,7.7189883645e-10
1986-08-11,8.0406130594e-10,8.1612221403e-10,8.2818312212e-10,8.0406130594e-10
1986-08-12,8.1612221403e-10,8.1210191134e-10,8.2412256176e-10,8.0406130594e-10
1986-08-13,8.0808160864e-10,7.8395979247e-10,8.1612221403e-10,7.6385823106e-10
1986-08-14,7.8395979247e-10,7.2365515618e-10,8.0406130594e-10,7.2365515618e-10
1986-08-15,7.3571611219e-10,7.316958095e-10,7.7189883645e-10,7.2365515618e-10
1986-08-18,7.4375671758e-10,7.035536427e-10,7.4375671758e-10,6.8345212922e-10
1986-08-19,7.035536427e-10,7.2767545888e-10,7.3973641489e-10,6.9149273461e-10
1986-08-20,7.2365515618e-10,7.3652016315e-10,7.7591913915e-10,7.2365515618e-10
1986-08-21,7.4371650785e-10,7.1963485348e-10,7.4657091989e-10,7.1159424809e-10
1986-08-22,7.2365515618e-10,7.035536427e-10,7.2365515618e-10,6.9953334001e-10
1986-08-25,7.035536427e-10,6.8345212922e-10,7.035536427e-10,6.629485663e-10
1986-08-26,6.8345212922e-10,7.2361499437e-10,7.4375671758e-10,6.8345212922e-10
1986-08-27,7.2365515618e-10,7.316958095e-10,7.5581762567e-10,7.1963485348e-10
1986-08-28,7.2365515618e-10,7.4375671758e-10,7.4777702028e-10,7.1561455079e-10
1986-08-29,7.4375671758e-10,7.3571611219e-10,7.4777702028e-10,7.2365515618e-10
1986-09-01,7.3571611219e-10,7.316958095e-10,7.6385823106e-10,7.2365515618e-10
1986-09-02,7.2767545888e-10,7.3169983526e-10,7.3973641489e-10,7.2365515618e-10
