,Residuals_LSTM
203,-60.16991093868327
204,56.008742454912756
205,64.8676469017964
206,140.03487705261117
207,-108.16691265044932
208,47.81136293470618
209,8.183941167913872
210,-155.38684265471423
211,-53.06769987762515
212,5.361493348575185
213,-2.8320173115210796
214,-18.336385766930736
215,36.77858258386357
216,1.656780316595223
217,30.44844986290119
218,-14.197505009923994
219,-40.62554475222419
220,-38.193332451075676
221,-35.0974843200039
222,29.7094044595001
223,-50.47361424743367
224,-168.59851974956626
225,22.202943854221544
226,-36.525873540217624
227,-4.490317110481714
228,-28.326965460748838
229,-11.166117861974389
230,88.09270060204435
231,22.494669559785347
232,-16.85216521670845
233,-10.03387262771269
234,40.21358397805379
235,45.8463469695614
236,-88.7179400129894
237,-26.476016163634785
238,56.44949611824023
239,23.476833099269804
240,-10.860684581995487
241,-34.52938599280729
242,1.5645267756219245
243,-61.57419791459149
244,35.45908867842145
245,52.28787195675509
246,50.598484785581235
247,-0.9180047398208895
248,-14.983370602662228
249,32.40537391232336
250,145.18746540934183
251,35.367520376050635
252,38.765807567674415
253,114.81955443023203
254,232.64362515635608
255,-59.979911435944246
256,17.32304716137679
257,5.638691940864008
258,36.567782891587576
259,69.17359871692614
260,179.30797462091272
261,65.89544167048896
262,-12.790877487656894
263,-87.25069093522224
264,231.97255063908307
265,1.0817707636808693
266,24.7221307135903
267,59.382326915276586
268,52.6722697928055
269,-136.137579735807
270,44.81617917325707
271,63.26869925353959
272,11.834592489902711
273,-22.479765417095198
274,21.71922353467719
275,48.446051507718536
276,-129.1025648539493
277,42.84624862787888
278,30.03666035065201
279,-20.750316358156756
280,-4.16556799524846
281,-57.15575248502576
282,-12.821352072033655
283,-0.4483762586846826
284,-9.781332836287223
285,-43.999325215288316
286,19.82583789127214
287,-3.0897604239721836
288,-16.481631033066407
289,30.637850440078868
290,-12.791741568790142
291,5.66978368236335
292,55.503193249219756
293,-178.31879818348654
294,-36.9292328065946
295,14.777304428923106
296,-29.615772136614673
297,3.055201414410974
298,38.55752688112507
299,194.98335958730863
300,-81.26675411229951
301,114.60937919613998
302,104.8510356925449
303,-2.8581589421432683
304,-34.46228809250142
305,-21.782795881603803
306,78.37091858225845
307,-45.86029539661087
308,-2.3210073378968166
309,63.635857546745136
310,95.99685208736382
311,86.68582727517429
312,102.8405846311952
313,-315.6392191277569
314,-48.31467338434777
315,-45.90525779045905
316,11.822229320402661
317,-17.701879142574462
318,-125.58424076826668
319,1.6729774901976342
320,2.719848488102824
321,-53.12870953182596
322,-37.76902913158819
323,5.062812401220657
324,-12.592132708010285
325,-23.93519222052168
326,25.53328243396314
327,22.622480527037474
328,-19.134594828365884
329,0.3681478500579535
330,-18.55106984206729
331,3.4136363683490845
332,-5.412756926663847
