"Date","Returns","garch_sigma","msgarch_sigma","gas_sigma","Returns_sq"
"2017-11-13",0.1067982970486,0,0,0,114.05876252481
"2017-11-14",0.0167169243992689,0,0,0,2.79455561370872
"2017-11-15",0.0963564365059799,0,0,0,92.8456285613094
"2017-11-16",0.0827294680424568,0,0,0,68.4416488258788
"2017-11-17",-0.0212438331774791,0,0,0,4.51300448072562
"2017-11-18",0.00811717442925364,0,0,0,0.658885207149292
"2017-11-19",0.0349479930766741,0,0,0,12.2136222008726
"2017-11-20",0.0214162031296787,0,0,0,4.5865375649166
"2017-11-21",-0.0113266916315098,0,0,0,1.28293943315314
"2017-11-22",0.0105860374831224,0,0,0,1.12064189594072
"2017-11-23",-0.0229186700134481,0,0,0,5.25265435185325
"2017-11-24",0.0146072745846464,0,0,0,2.13372470791257
"2017-11-25",0.0667797255056666,0,0,0,44.5953173861218
