"Date","Returns"
2018-02-05,-0.164979663763315
2018-02-06,0.0976850136855152
2018-02-07,-0.00696868759335167
2018-02-08,0.0240562545658278
2018-02-09,0.109400125375595
2018-02-10,-0.0174171984329181
2018-02-11,-0.0566610109302434
2018-02-12,0.0989934683256255
2018-02-13,-0.0416390004614868
2018-02-14,0.101264385173986
2018-02-15,0.0565804096495128
2018-02-16,0.0158623806909155
2018-02-17,0.0830278055041749
2018-02-18,-0.0612730128352883
2018-02-19,0.0714972536990519
2018-02-20,0.00429364723937375
2018-02-21,-0.0705874962823732
2018-02-22,-0.061906388740093
2018-02-23,0.0320956961120018
2018-02-24,-0.0440442324402053
2018-02-25,-0.0108388570057567
2018-02-26,0.0737503929610206
2018-02-27,0.0234576908169117
2018-02-28,-0.0231903883044211
