"Date","Sigma_GARCH"
2018-02-08,0.00676886134964973
2018-02-09,0.00631088933807968
2018-02-10,0.00675012281241534
2018-02-11,0.00628015362338639
2018-02-12,0.00610995719805178
2018-02-13,0.00632537002932029
2018-02-14,0.00596734565995454
2018-02-15,0.00618562480030378
2018-02-16,0.00603974398980319
2018-02-17,0.0056265602345097
2018-02-18,0.00571718493799313
2018-02-19,0.00555235215701841
2018-02-20,0.00545398200017782
2018-02-21,0.00507428977469532
2018-02-22,0.00511775589030676
2018-02-23,0.00508840381397995
2018-02-24,0.0047842942127144
2018-02-25,0.00457887822248976
2018-02-26,0.00427700538790314
2018-02-27,0.00436131459212891
2018-02-28,0.00410649622759387
2018-03-01,0.00386451003020983
2018-03-02,0.00379602110957838
2018-03-03,0.00354487906301689
2018-03-04,0.00338973757326412
