"Date","Mu_Window"
2022-03-03,0.00158169061001642
2022-03-04,0.00154769447545946
2022-03-07,0.00148819843518561
2022-03-08,0.00151379836160337
2022-03-09,0.00148075319199698
2022-03-10,0.00151664078003971
2022-03-11,0.00151141796031897
2022-03-14,0.00141706826874745
2022-03-15,0.00141682843030319
2022-03-16,0.0014178251077286
2022-03-17,0.00139712114179163
2022-03-18,0.00141305078177303
2022-03-21,0.00140166527578797
2022-03-22,0.00137702756891783
2022-03-23,0.00134465666336588
2022-03-24,0.00125173669370757
2022-03-25,0.00118637042275824
2022-03-28,0.00115805518080526
2022-03-29,0.00116367705860519
2022-03-30,0.00116626639651679
2022-03-31,0.00114548214313548
2022-04-01,0.00112501678105651
2022-04-04,0.00117815895631554
2022-04-05,0.00124707295738461
2022-04-06,0.00118668494185618
