"Date","Parkinson"
2016-02-11,0.000461238650851112
2016-02-12,0.000820022667530088
2016-02-15,0.000111016394084555
2016-02-16,0.000851009224483423
2016-02-17,0.00159387561416781
2016-02-18,0.00166612265243348
2016-02-19,0.000518312289196613
2016-02-22,0.00259663074090301
2016-02-23,0.00299673657519425
2016-02-24,0.00123312472454484
2016-02-25,0.00124619577473879
2016-02-26,0.00106713088927169
2016-02-29,0.000865319931125019
2016-03-01,0.000959845432007763
2016-03-02,0.00309662186551739
2016-03-03,0.009125614945681
2016-03-04,0.00660656241030456
2016-03-07,0.00231717190219135
2016-03-08,0.00374986963830965
2016-03-09,0.00111082144594768
2016-03-10,0.00261726806767473
2016-03-11,0.0017298130804299
2016-03-14,0.00380073512479862
2016-03-15,0.00126355649781567
2016-03-16,0.00522662729031739
