"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_2_5","VaR_MSGARCH_2_5","VaR_GAS_2_5","ES_GARCH_2_5","ES_MSGARCH_2_5","ES_GAS_2_5","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","Parkinson"
2017-07-12,0.0482879718954369,0.0215958818140707,0.0214735621548622,0.0204570767971406,-0.055465227500128,-0.0538181379053221,-0.0531809720243052,-0.0792858696900411,-0.0778675199785261,-0.0769683808649383,-0.0406680637943713,-0.0402590354683561,-0.0395688942661189,-0.0605006666107982,-0.060164198789248,-0.0591984484855362,-0.0348773769008736,-0.0346694956055343,-0.0340201838861978,-0.0545047810235487,-0.0543821260219175,-0.0538984262797923,0.000511304077070942
2017-07-13,-0.005424267485275,0.0255864244325236,0.0253948661832692,0.0307950089292699,-0.0655291678943295,-0.0635824692757422,-0.0788163736073741,-0.0875828688223805,-0.0857286492283959,-0.102061758654219,-0.0479311999425746,-0.0474389718281841,-0.0605880154988381,-0.0681232402393657,-0.0673900351385144,-0.0834777051525941,-0.0410458465621038,-0.0407348188076146,-0.0506036795778353,-0.0611904025361022,-0.060841790062267,-0.0717878347894475,0.000124462058985081
2017-07-14,0.0138891121634987,0.0245990190350806,0.0237559996236175,0.0279464119339288,-0.0630512713628157,-0.0594876365625164,-0.0715474381420411,-0.0851370329382518,-0.0823885923954957,-0.0926048898436014,-0.0460772406644889,-0.0444041992468752,-0.0550108275623997,-0.0662235773521854,-0.0644841449945389,-0.0792858696900411,-0.0394611341782827,-0.0382374738397656,-0.045951774518554,-0.0590438591290619,-0.0577038815114022,-0.0659987055286759,4.81307708294747e-05
2017-07-17,-0.0123363168103591,0.0240321046476741,0.0229146236675234,0.0260946654911451,-0.0616095817500221,-0.0573670030611277,-0.066795567696239,-0.0840304241217054,-0.081865494238662,-0.0875828688223805,-0.045001631686819,-0.0428570782253644,-0.0513846123839475,-0.065339002549551,-0.0634668559599344,-0.073789843808532,-0.0385587486792978,-0.0369690189527867,-0.042914519472834,-0.0582902461421863,-0.0568638776636614,-0.0634668559599344,6.95766505659059e-05
2017-07-18,0.00387147213213535,0.023418087586,0.0221783904865272,0.0243818676863167,-0.0600806664044781,-0.0555511673686641,-0.0624448158955207,-0.0829320764731999,-0.0792858696900411,-0.0840304241217054,-0.0438927227137192,-0.041521800589026,-0.0480318959264095,-0.06387199516896,-0.062099384222203,-0.0683755374636288,-0.0375637704814348,-0.03579336414313,-0.0401246645260616,-0.057142332511031,-0.0555130966363136,-0.0599988526986958,7.79428510154204e-05
2017-07-19,0.02216368903914,0.0226156411563918,0.0213936331727823,0.0224029282864262,-0.0580626887749017,-0.0536041435160836,-0.0574133866316604,-0.081865494238662,-0.0774105116768985,-0.081865494238662,-0.0424225553659369,-0.0400655690752694,-0.0441598649241595,-0.0628725173328891,-0.0598354970445114,-0.0642778073967835,-0.0362813616040418,-0.0345441971691706,-0.0368974415755327,-0.0560413396168136,-0.0543821260219175,-0.0568638776636614,0.000188593723129471
2017-07-20,-0.00987474791213629,0.0228224257492343,0.0217859567017396,0.0228286893480457,-0.0586113340328656,-0.0545634735452743,-0.0584727660862207,-0.081865494238662,-0.0783309372775307,-0.081865494238662,-0.0428544579812228,-0.040798232078497,-0.0449881274498123,-0.0634668559599344,-0.060841790062267,-0.065339002549551,-0.0365947707831162,-0.035198062364212,-0.0375812650506919,-0.0564483513823305,-0.0548766711250886,-0.057142332511031,0.000212308566841216
2017-07-21,-0.031797948467187,0.0222240594073376,0.0212734497188586,0.021399232302033,-0.0571227960192087,-0.0532974923889004,-0.0548467311812198,-0.0807974366536186,-0.0769683808649383,-0.0783309372775307,-0.0417738328253957,-0.0398502108873598,-0.0421934487662156,-0.0626792650781699,-0.0596746484469217,-0.0626792650781699,-0.0356352465949941,-0.0343900548598124,-0.0352566928906074,-0.0553833485795422,-0.0540179955043892,-0.0548766711250886,0.000298836611490146
2017-07-24,0.0148614389427758,0.0233593018816023,0.0226063528078713,0.0244471786758228,-0.0600412673574024,-0.0566359275429811,-0.0626450779322616,-0.0829320764731999,-0.0802882529436125,-0.0840304241217054,-0.0439721358775127,-0.0423256439106173,-0.0481587822015705,-0.0640733070206465,-0.0626792650781699,-0.0688952562623468,-0.03737596343229,-0.036562025787674,-0.040248044908335,-0.0570030088609625,-0.0564483513823305,-0.060164198789248,4.91856844823646e-05
2017-07-25,0.0260551137425891,0.0229772893484662,0.0221633345474403,0.0233100847642389,-0.0591136420526023,-0.0555169305033426,-0.0597331709291151,-0.081865494238662,-0.0792858696900411,-0.0829320764731999,-0.0433103172765856,-0.0415284117436015,-0.0459313146142057,-0.0636684759158552,-0.062099384222203,-0.0659987055286759,-0.0367273701651451,-0.0358595250151978,-0.0383851661125976,-0.0564483513823305,-0.0555130966363136,-0.0579942621380383,0.000120512407853872
2017-07-26,-0.0183211231511156,0.0234421551884869,0.0226738538939698,0.0243469358914858,-0.0603132999503813,-0.056766537304172,-0.062337705359631,-0.0829320764731999,-0.0802882529436125,-0.0840304241217054,-0.0442170212318028,-0.042465526722241,-0.0479546157190982,-0.0642778073967835,-0.0628725173328891,-0.0683755374636288,-0.0374961441501491,-0.0367307224527029,-0.0400624587826584,-0.0570030088609625,-0.0564483513823305,-0.0598354970445114,0.000269936704232814
2017-07-27,0.00153964619556881,0.0232201042547696,0.0224017271460151,0.0236474161618389,-0.0598001931199692,-0.0560988061986556,-0.0605603103258678,-0.0829320764731999,-0.0802882529436125,-0.0829320764731999,-0.0438652518599783,-0.0419692934452148,-0.0465856239489801,-0.06387199516896,-0.0626792650781699,-0.0669139445316917,-0.0371128765313311,-0.0363592480667061,-0.0389257333973921,-0.0568638776636614,-0.056175455157563,-0.0584389331023859,6.08803517588437e-05
2017-07-28,0.00995033084540664,0.0224661170939559,0.0216453134195886,0.0217098158335709,-0.0579345463555979,-0.0542151383187927,-0.0556237399893393,-0.081865494238662,-0.0778675199785261,-0.0792858696900411,-0.0424988007221201,-0.0405765742475467,-0.0427937489053778,-0.0628725173328891,-0.0605006666107982,-0.063266401020249,-0.0358754426554354,-0.0351378207690672,-0.0357623723030828,-0.0555130966363136,-0.0548766711250886,-0.0555130966363136,0.000102981356247225
2017-07-31,0.0121121844032896,0.0219449306149183,0.0212687981529762,0.0204765007582862,-0.0566460862706283,-0.0532662209599065,-0.05246187498241,-0.0802882529436125,-0.0769683808649383,-0.0757000236275712,-0.0415520987085116,-0.0398850447016737,-0.040302316585727,-0.0624837290316387,-0.0596746484469217,-0.0603313441648293,-0.0350139842664233,-0.0345071021282924,-0.0337394753050588,-0.0547516065675297,-0.0542595565331326,-0.0536585507538338,0.000119418443241756
2017-08-01,-0.0128740891926083,0.0215482469527822,0.0210893766091727,0.0196586680364843,-0.0556641247502321,-0.052796924111615,-0.0503528630437539,-0.0797782575060046,-0.0761117430945602,-0.0714794582720387,-0.0408262351983802,-0.0395426405845669,-0.0385623117527488,-0.060841790062267,-0.0590438591290619,-0.0582902461421863,-0.0343601053003107,-0.0341926098551895,-0.0323918777044243,-0.0540179955043892,-0.0538984262797923,-0.0522779594074704,0.000119237564779616
2017-08-02,0.0292923684334867,0.02119039090992,0.0209661466383884,0.0190447008088623,-0.0547999440475596,-0.0525007116697108,-0.0488009126652661,-0.0783309372775307,-0.0757000236275712,-0.0702846807685348,-0.0401966253099641,-0.0393171931850806,-0.0372754662016369,-0.060164198789248,-0.05873916706033,-0.0570030088609625,-0.0338151488603109,-0.0339782709984275,-0.0313942051109296,-0.0537784680063914,-0.0537784680063914,-0.051409652538281,0.000569040686098132
