"Date","Sigma2_GARCH","Sigma2_GAS","Sigma2_MSGARCH","Parkinson"
2011-06-13,0.000338299699942814,0.000252194968245355,0.000559855836234956,0.000204135553717287
2011-06-14,0.00034155433552019,0.00027068379431399,0.000601118457097528,4.73898537077064e-05
2011-06-15,0.000333129792418349,0.000258678077147215,0.000551342344995613,0.000105847840602475
2011-06-16,0.000327002073502593,0.000253438170050404,0.000534263601273468,0.000286474602933312
2011-06-17,0.000307316233070282,0.000218400029145486,0.00047758156138563,5.57065306822948e-05
2011-06-20,0.000289864778799392,0.000189956947645118,0.000456484963234312,9.63507640445889e-05
2011-06-21,0.000276801168419748,0.000171970276794022,0.000446584300614833,4.54169839556206e-05
2011-06-22,0.000265698323684303,0.000157647474708083,0.000435265783749297,0.000164404525417593
2011-06-24,0.000252140791225018,0.000138420194499486,0.000415028748409921,8.81351931043322e-05
2011-06-27,0.000264822798858475,0.000181857465647751,0.000478807980980363,6.96370883469054e-05
2011-06-28,0.000259342064855603,0.000175352957127023,0.000428374440617148,8.15619547645668e-05
2011-06-29,0.00027017125951307,0.000206156864878024,0.000466472899188514,7.63431856223121e-05
2011-06-30,0.000256703457599908,0.000180486446224258,0.00039213370934359,3.13165722955373e-05
2011-07-01,0.000263665490691466,0.000200463765559196,0.000422275153284826,0.000113467765892765
2011-07-04,0.000250407771405208,0.000174607356705383,0.00036888569031959,1.25011345010054e-05
2011-07-05,0.000238752748269002,0.000153489284151747,0.000350895443583368,0.000141316956495092
2011-07-06,0.000236481747740032,0.000154252530822397,0.000356484224574383,8.48614406192084e-05
2011-07-07,0.000225960850682107,0.000136080673354493,0.000333704002514597,3.70807028234861e-05
2011-07-08,0.000218822401673352,0.000125261307639648,0.000326032076399428,3.45054088869662e-05
2011-07-11,0.000215208177229402,0.000123031425855719,0.000323337352321184,4.53386773365591e-05
2011-07-12,0.000219861708179912,0.000139806407856907,0.000336281373280216,9.24163361353949e-05
